#,Question,Answer
1,What are the key features in Product1 25.R.3 release?,"The 25.R.3 release introduced core GPON support with 2.5 Gbps downstream bandwidth, up to 64 users per PON, basic EFM OAM for link monitoring, and DHCP for 5,000 sessions. Ideal for initial enterprise deployments. What's your current setup?"
2,How does 25.R.4 improve on 25.R.3 for Product1?,"25.R.4 adds CFM/CCM for proactive fault detection, boosts users to 128 per PON, enables protocol tracing, and includes migration wizards for <30-min outages. It reduces support hand-offs by 40%. Ready to upgrade?"
3,What new bandwidth features came in 25.R.4?,"Enhanced dynamic bandwidth allocation (DBA) in 25.R.4 supports up to 1.25 Gbps upstream per PON, with better QoS for video/voice. Compared to 25.R.3's static 1 Gbps, it's 25% more efficient. Test it in our lab?"
4,Does 25.R.3 support auto-failure detection?,"Yes, via basic EFM OAM, but 25.R.4 upgrades to full CFM for automated alerts. In 25.R.3, manual checks take ~5 mins; auto in 25.R.4 is instant. Which release are you on?"
5,List all security features added in 25.R.4.,"25.R.4 includes AES-256 encryption for PON traffic, SNMPv3 hardening, and DHCP snooping—building on 25.R.3's basic ACLs. Enhances B2B compliance. Audit your network?"
6,What's the hardware upgrade path from 25.R.3 to 25.R.4?,Non-disruptive: Flash firmware during maintenance window; no chassis swap needed. Takes 15-20 mins. Full guide in our portal.
7,Did 25.R.4 add support for 10G PON?,"Not yet—25.R.4 focuses on optimized GPON, but previews XG-PON migration tools. Full 10G in 26.R.1. Plan ahead?"
8,How many PON ports in 25.R.3 vs. 25.R.4?,"Both support 64 ports, but 25.R.4 adds virtual PON slicing for 2x density. Scales to 8,192 users total."
9,What QoS improvements in 25.R.4?,"Advanced priority queuing for 8 classes, vs. 4 in 25.R.3. Ensures low latency for critical B2B apps."
10,Is VLAN stacking new in 25.R.4?,"Yes, Q-in-Q support added, enabling service isolation—absent in 25.R.3. Great for multi-tenant setups."
11,25.R.3 release notes on stability?,"99.99% uptime certified, with hot-swap PSU. Minor patch for DHCP leaks fixed in 25.R.3.1."
12,Future features teased for post-25.R.4?,AI-driven predictive maintenance and zero-touch provisioning in 26.R.2. Stay tuned via our newsletter.
13,Compare power efficiency: 25.R.3 vs. 25.R.4.,25.R.4 uses 20% less power per PON (green tech for B2B sustainability).
14,Did 25.R.4 fix 25.R.3's OAM latency issues?,"Yes, reduced CCM polling to 3.3ms from 10ms."
15,Management UI changes in 25.R.4?,Web-based dashboard with analytics; 25.R.3 was CLI-only.
16,Backward compatibility for 25.R.3 apps?,Full—25.R.4 runs legacy scripts seamlessly.
17,New APIs in 25.R.4 for integrations?,RESTful APIs for bandwidth monitoring; extend your CRM.
18,25.R.4 certification updates?,Added MEF 3.0 for carrier Ethernet.
19,Bug fixes from 25.R.3 in 25.R.4?,"Resolved 5 CVEs, improved DHCP lease renewal."
20,Roadmap: What's next after 25.R.4?,Edge computing hooks and 5G backhaul in Q2 2026.
21,What is PON bandwidth in Product1?,"PON (Passive Optical Network) in Product1 delivers 2.5 Gbps downstream and 1.25 Gbps upstream via GPON, shared dynamically. Symmetric EPON option at 1 Gbps available. Factors like split ratio affect per-user speed."
22,How many users can I connect on a PON?,"Typically up to 128 ONUs per PON port in GPON mode—scalable based on bandwidth allocation. For high-demand B2B, aim for 64 for optimal performance. Site survey recommended."
23,What's the difference between GPON and EPON in Product1?,GPON offers asymmetric 2.5/1.25 Gbps for video-heavy enterprise use; EPON is symmetric 1 Gbps for balanced upload needs. Both supported; GPON is default.
